question,reference_answer,line_number_start,line_number_end,question_type,doc_id,section,source_question
my leaderboard name is some random auto-generated thing — can I change it to a nickname or my real name?,The display name listed on the leaderboard is an auto-generated randomized name. You can edit it to be a nickname or your real name if you prefer. Your entry on the Leaderboard is the one highlighted in light green.,1,1,course_logistics,16005581f2,General Course-Related Questions,Edit Course Profile.
where do I set the name that shows up on my certificate?,The Certificate name should be your actual name that you want to appear on your certificate after completing the course.,3,3,course_logistics,16005581f2,General Course-Related Questions,Edit Course Profile.
I changed my profile but I'm not sure which name is public on the leaderboard — what does that 'Display on Leaderboard' setting do?,"The ""Display on Leaderboard"" option indicates whether you want your name to be listed on the course leaderboard.",5,5,course_logistics,16005581f2,General Course-Related Questions,Edit Course Profile.
my name on the leaderboard is highlighted in green — does that mean it's the one tied to my profile?,Your entry on the Leaderboard is the one highlighted in light green.,1,1,stuck_participant,16005581f2,General Course-Related Questions,Edit Course Profile.
can I use a different name for the leaderboard than the one on my certificate?,You can edit it to be a nickname or your real name if you prefer. The Certificate name should be your actual name that you want to appear on your certificate after completing the course.,1,3,course_logistics,16005581f2,General Course-Related Questions,Edit Course Profile.
"I'm trying to hook dbt into Airflow, but my trial dbt account only gives me API access — do I still need to create the job myself?","The trial dbt account provides access to the dbt API. A job will still need to be added manually. Airflow can run the job using a Python operator that calls the API. You will need to provide an API key, job ID, etc., and be careful not to commit this information to GitHub.",1,1,stuck_participant,c81e613d5a,Project,Orchestrating dbt with Airflow
"Can Airflow actually trigger a dbt Cloud job, or do I need some other setup in between?","The trial dbt account provides access to the dbt API. A job will still need to be added manually. Airflow can run the job using a Python operator that calls the API. You will need to provide an API key, job ID, etc., and be careful not to commit this information to GitHub.",1,1,stuck_participant,c81e613d5a,Project,Orchestrating dbt with Airflow
What do I need to pass from dbt into Airflow to make the job run — is it just the API key or do I need the job ID too?,"The trial dbt account provides access to the dbt API. A job will still need to be added manually. Airflow can run the job using a Python operator that calls the API. You will need to provide an API key, job ID, etc., and be careful not to commit this information to GitHub.",1,1,stuck_participant,c81e613d5a,Project,Orchestrating dbt with Airflow
I’m worried about putting my dbt API key in the DAG — how am I supposed to handle that without pushing it to GitHub?,"The trial dbt account provides access to the dbt API. A job will still need to be added manually. Airflow can run the job using a Python operator that calls the API. You will need to provide an API key, job ID, etc., and be careful not to commit this information to GitHub.",1,1,stuck_participant,c81e613d5a,Project,Orchestrating dbt with Airflow
"Is there an example or writeup for getting dbt and Airflow working together, since I'm not sure how to wire up the Python operator call?",- Detailed explanation: [dbt and Airflow Spiritual Alignment](https://docs.getdbt.com/blog/dbt-airflow-spiritual-alignment)- Source code example: [GitHub dbt Cloud Example](https://github.com/sungchun12/airflow-toolkit/blob/95d40ac76122de337e1b1cdc8eed35ba1c3051ed/dags/examples/dbt_cloud_example.py),3,4,stuck_participant,c81e613d5a,Project,Orchestrating dbt with Airflow
VS Code keeps saying permission denied on my VM SSH connection. I'm on Windows — what do I need to change in my .ssh config?,"If you are using Windows, try the following steps to resolve the error: 1. Copy the `.ssh` folder from the Linux file path to Windows. 2. In the `config` file, use `IdentityFile C:\Users\<username>\.ssh\gcp` instead of `IdentityFile ~/.ssh/gcp`. 3. Ensure the private key file located at `C:\Users\<username>\.ssh\gcp` has an extra line at the end.",1,16,stuck_participant,7889d2bad5,Module 1: GCP setup & VM,"SSH error in VS Code - “Could not establish connection to ""de-zoomcamp"": Permission denied (publickey).”"
I copied my key over but VS Code still won't connect to de-zoomcamp on Windows. Do I need to move the .ssh folder somewhere special?,"If you are using Windows, try the following steps to resolve the error: 1. Copy the `.ssh` folder from the Linux file path to Windows. 2. In the `config` file, use `IdentityFile C:\Users\<username>\.ssh\gcp` instead of `IdentityFile ~/.ssh/gcp`. 3. Ensure the private key file located at `C:\Users\<username>\.ssh\gcp` has an extra line at the end.",1,16,stuck_participant,7889d2bad5,Module 1: GCP setup & VM,"SSH error in VS Code - “Could not establish connection to ""de-zoomcamp"": Permission denied (publickey).”"
My SSH key in Windows is still giving permission denied in VS Code. What exact IdentityFile path should I use?,"In the `config` file, use: `IdentityFile C:\Users\<username>\.ssh\gcp` instead of `IdentityFile ~/.ssh/gcp`.",4,14,stuck_participant,7889d2bad5,Module 1: GCP setup & VM,"SSH error in VS Code - “Could not establish connection to ""de-zoomcamp"": Permission denied (publickey).”"
I'm on Windows and I think my private key file is the issue. What extra thing should be at the end of the gcp key file?,Ensure the private key file located at `C:\Users\<username>\.ssh\gcp` has an extra line at the end.,16,16,stuck_participant,7889d2bad5,Module 1: GCP setup & VM,"SSH error in VS Code - “Could not establish connection to ""de-zoomcamp"": Permission denied (publickey).”"
Do I need to copy my Linux .ssh folder into Windows for the de-zoomcamp VM SSH setup?,Copy the `.ssh` folder from the Linux file path to Windows.,3,3,course_logistics,7889d2bad5,Module 1: GCP setup & VM,"SSH error in VS Code - “Could not establish connection to ""de-zoomcamp"": Permission denied (publickey).”"
"I'm getting a public key error when I try to SSH into my VM from Windows. I made the key in Command Prompt instead of git bash, but I think the bigger problem is something about usernames — what am I supposed to change?","It turns out it wasn’t an issue with the key generation at all! The problem was with the username. I had given my SSH key a different username than what appeared in my VM (my Google account username). So, I had been trying to log in with `googleacctuser@[ipaddr]` instead of `mySSHuser@[ipaddr]`. The fix was to retrace the SSH key setup in the GCP console, change the username to the correct one in the config file, and update the config file and use `mySSHuser` to log in.",5,9,stuck_participant,eb759226aa,Module 1: GCP setup & VM,GCP: SSH public key error - multiple users / usernames
I think I created the SSH key with the wrong username and now I can’t get into the VM. How do I line up the username in GCP with the one I use in my config?,"It turns out it wasn’t an issue with the key generation at all! The problem was with the username. I had given my SSH key a different username than what appeared in my VM (my Google account username). So, I had been trying to log in with `googleacctuser@[ipaddr]` instead of `mySSHuser@[ipaddr]`. The fix was to retrace the SSH key setup in the GCP console, change the username to the correct one in the config file, and update the config file and use `mySSHuser` to log in.",5,9,stuck_participant,eb759226aa,Module 1: GCP setup & VM,GCP: SSH public key error - multiple users / usernames
"I set up the VM and now it looks like I accidentally made two users. One has all my installs and permissions, but SSH is trying the other one. How do I fix that?","Now, the issue was that I had created two users. I made all the installations and permissions on `googleacctuser`, not accessible from `mySSHuser`. Since I didn't need `mySSHuser`, I edited the SSH key to change the username at the end and updated the GCP console and config file accordingly.",11,11,stuck_participant,eb759226aa,Module 1: GCP setup & VM,GCP: SSH public key error - multiple users / usernames
"Do I need to delete the extra VM user after fixing the SSH username, or can I just leave it there?","Now, the issue was that I had created two users. I made all the installations and permissions on `googleacctuser`, not accessible from `mySSHuser`. Since I didn't need `mySSHuser`, I edited the SSH key to change the username at the end and updated the GCP console and config file accordingly. Then, I planned to delete the `mySSHuser` account in the VM terminal to keep things clean (though I got a bit attached, so I skipped this).",11,13,course_logistics,eb759226aa,Module 1: GCP setup & VM,GCP: SSH public key error - multiple users / usernames
"My SSH login works in the browser, but I still can't get VSCode to connect. Is there a workaround while I sort out the key/user stuff?","Before figuring out my issue, I used a shortcut by SSH'ing into the VM in the browser, which worked nicely for a while. But eventually, I needed to use VSCode.",17,17,stuck_participant,eb759226aa,Module 1: GCP setup & VM,GCP: SSH public key error - multiple users / usernames
I upgraded my Postgres Docker container from 16 to 18 and now it just exits on startup — is the volume path different now?,"Postgres 18 changes how the data directory is structured inside Docker containers. While Postgres ≤16 stored data under /var/lib/postgresql/data, Postgres 18 expects the volume to be mounted at /var/lib/postgresql. If an existing volume created with an older Postgres version is reused without updating the mount path, Postgres 18 will detect an incompatible layout and exit during startup. This can appear as DNS resolution errors or failed connections from pgAdmin or ingestion jobs.",1,1,stuck_participant,5f560784b0,"Module 1: Postgres, pgAdmin & Python ingestion",Postgres fails to start after upgrading from postgres:16 to postgres:18 in Docker
My pgAdmin and ingestion jobs started failing after I switched the container to postgres:18 — is this the same data folder issue?,"Postgres 18 changes how the data directory is structured inside Docker containers. While Postgres ≤16 stored data under /var/lib/postgresql/data, Postgres 18 expects the volume to be mounted at /var/lib/postgresql. If an existing volume created with an older Postgres version is reused without updating the mount path, Postgres 18 will detect an incompatible layout and exit during startup. This can appear as DNS resolution errors or failed connections from pgAdmin or ingestion jobs.",1,1,stuck_participant,5f560784b0,"Module 1: Postgres, pgAdmin & Python ingestion",Postgres fails to start after upgrading from postgres:16 to postgres:18 in Docker
"Do I need to delete my old Postgres 16 volume before running postgres:18, or can I reuse it?","The fix is to update the volume mount path, remove the old volume, and recreate the containers so Postgres 18 can initialize a new data directory.",1,1,course_logistics,5f560784b0,"Module 1: Postgres, pgAdmin & Python ingestion",Postgres fails to start after upgrading from postgres:16 to postgres:18 in Docker
What exact volume mount should I use now for Postgres 18 in docker-compose?,"For docker-compose, mount the volume to /var/lib/postgresql:",20,20,stuck_participant,5f560784b0,"Module 1: Postgres, pgAdmin & Python ingestion",Postgres fails to start after upgrading from postgres:16 to postgres:18 in Docker
What are the steps to fix the Postgres 18 startup issue after upgrading from 16 in Week 1?,- Update the volume mount path to /var/lib/postgresql (instead of /var/lib/postgresql/data).- Remove the old volume that was created with Postgres 16.- Recreate the containers so Postgres 18 initializes a fresh data directory.,3,6,course_logistics,5f560784b0,"Module 1: Postgres, pgAdmin & Python ingestion",Postgres fails to start after upgrading from postgres:16 to postgres:18 in Docker
I’m in Module 1 and need to find the Docker network name — what command am I supposed to run?,Get the network name via:```bashdocker network ls```,1,5,stuck_participant,79e44b9c07,Module 1: Docker,Docker: Docker network name
"I’m stuck on the Docker network part, how do I list the network name again?",Get the network name via:```bashdocker network ls```,1,5,stuck_participant,79e44b9c07,Module 1: Docker,Docker: Docker network name
What’s the Docker command to see the network name for this module?,Get the network name via:```bashdocker network ls```,1,5,stuck_participant,79e44b9c07,Module 1: Docker,Docker: Docker network name
I can’t remember how to check the Docker network name — where do I look?,Get the network name via:```bashdocker network ls```,1,5,stuck_participant,79e44b9c07,Module 1: Docker,Docker: Docker network name
Do we have a link for more details on Docker network ls?,"For more details, refer to the Docker network ls documentation.",7,7,course_logistics,79e44b9c07,Module 1: Docker,Docker: Docker network name
I'm looking for a pretty decent sized dataset for the project — is there a place you recommend checking?,See a list of datasets here: [GitHub Datasets](https://github.com/DataTalksClub/data-engineering-zoomcamp/blob/main/projects/datasets.md),1,1,course_logistics,2220285e58,Project,Does anyone know nice and relatively large datasets?
Where are people finding datasets for the project? I need something nice and not tiny.,See a list of datasets here: [GitHub Datasets](https://github.com/DataTalksClub/data-engineering-zoomcamp/blob/main/projects/datasets.md),1,1,course_logistics,2220285e58,Project,Does anyone know nice and relatively large datasets?
Any link to a list of datasets I can use for the project?,See a list of datasets here: [GitHub Datasets](https://github.com/DataTalksClub/data-engineering-zoomcamp/blob/main/projects/datasets.md),1,1,course_logistics,2220285e58,Project,Does anyone know nice and relatively large datasets?
I'm stuck on choosing a dataset for the project — is there some curated list somewhere?,See a list of datasets here: [GitHub Datasets](https://github.com/DataTalksClub/data-engineering-zoomcamp/blob/main/projects/datasets.md),1,1,course_logistics,2220285e58,Project,Does anyone know nice and relatively large datasets?
Do you have a place with larger datasets for the project? I'm not sure what to use.,See a list of datasets here: [GitHub Datasets](https://github.com/DataTalksClub/data-engineering-zoomcamp/blob/main/projects/datasets.md),1,1,course_logistics,2220285e58,Project,Does anyone know nice and relatively large datasets?
"I'm trying to download the taxi data and my code works with `output.csv`, but the file I get is `*.csv.gz` and it doesn't save right. What am I supposed to change?","Replace `csv_name = ""output.csv""` with the file name extracted from the URL. For example, for the yellow taxi data, use:```pythonurl = ""https://github.com/DataTalksClub/nyc-tlc-data/releases/download/yellow/yellow_tripdata_2021-01.csv.gz""csv_name = url.split(""/"")[-1]```",5,10,stuck_participant,d677df9ccb,Module 1: Taxi Data (download & handling),Taxi Data: How to handle *.csv.gz taxi data files?
"Do I need to unzip the taxi file first if it's `csv.gz`, or can pandas read it as-is?","When you use `csv_name` with `pandas.read_csv`, it will work correctly because `pandas.read_csv` can directly read files with the `csv.gz` extension.",12,12,stuck_participant,d677df9ccb,Module 1: Taxi Data (download & handling),Taxi Data: How to handle *.csv.gz taxi data files?
"I'm following the taxi data video and the filename is hardcoded as `output.csv`, but my download link ends in `.csv.gz`. Is that supposed to be different?","Replace `csv_name = ""output.csv""` with the file name extracted from the URL. For example, for the yellow taxi data, use:```pythonurl = ""https://github.com/DataTalksClub/nyc-tlc-data/releases/download/yellow/yellow_tripdata_2021-01.csv.gz""csv_name = url.split(""/"")[-1]```",5,10,stuck_participant,d677df9ccb,Module 1: Taxi Data (download & handling),Taxi Data: How to handle *.csv.gz taxi data files?
"When I set `csv_name` to the `.csv.gz` file name and pass it into `pd.read_csv`, will that actually work or do I need extra steps?","When you use `csv_name` with `pandas.read_csv`, it will work correctly because `pandas.read_csv` can directly read files with the `csv.gz` extension.",12,12,stuck_participant,d677df9ccb,Module 1: Taxi Data (download & handling),Taxi Data: How to handle *.csv.gz taxi data files?
"For the taxi data homework, should I rename the file from `csv.gz` to `csv`, or just keep the original name from the URL?","Replace `csv_name = ""output.csv""` with the file name extracted from the URL. For example, for the yellow taxi data, use:```pythonurl = ""https://github.com/DataTalksClub/nyc-tlc-data/releases/download/yellow/yellow_tripdata_2021-01.csv.gz""csv_name = url.split(""/"")[-1]```",5,10,course_logistics,d677df9ccb,Module 1: Taxi Data (download & handling),Taxi Data: How to handle *.csv.gz taxi data files?
